born (255, 0, 0) 1 13 33 44
born (255, 255, 0) 1 23 19 84
born (255, 0, 0) 1 3 67 0
born (0, 0, 255) 1 34 98 72
born (0, 255, 0) 1 4 83 3
born (255, 0, 0) 2 16 53 96
born (255, 0, 0) 1 46 67 43
born (255, 0, 0) 2 13 99 79
born (0, 255, 0) 1 28 83 32
born (255, 0, 0) 2 32 68 59
born (255, 0, 0) 1 13 45 42
born (0, 255, 0) 2 8 1 40
born (0, 255, 0) 1 8 57 61
born (255, 255, 0) 1 2 23 56
born (255, 0, 0) 3 21 6 72
born (255, 0, 0) 3 42 85 74
born (255, 0, 0) 2 4 6 85
born (0, 255, 0) 2 32 79 0
born (255, 255, 0) 1 3 60 55
born (255, 0, 0) 2 16 25 88
born (255, 0, 0) 4 39 24 20
born (255, 0, 0) 3 29 59 20
born (255, 0, 0) 3 16 22 66
born (0, 255, 0) 1 3 29 70
born (255, 0, 0) 2 3 56 77
born (255, 0, 0) 3 35 95 16
born (255, 0, 0) 3 35 49 91
born (0, 255, 0) 3 20 15 18
born (255, 255, 0) 2 18 35 91
born (255, 0, 0) 4 7 66 41
born (255, 0, 0) 3 2 22 6
born (255, 0, 0) 5 30 83 83
born (255, 0, 0) 1 19 4 2
born (255, 0, 0) 5 39 36 89
born (255, 0, 0) 4 35 17 47
born (0, 255, 0) 4 33 20 97
born (255, 0, 0) 5 14 58 94
born (0, 255, 0) 1 44 63 17
born (255, 0, 0) 3 34 91 33
born (255, 0, 0) 3 13 6 91
born (255, 0, 0) 4 24 21 14
born (255, 0, 0) 2 16 64 51
born (255, 0, 0) 5 32 69 51
born (255, 0, 0) 4 28 19 3
born (255, 0, 0) 4 16 38 91
born (255, 0, 0) 5 15 9 22
born (255, 0, 0) 1 3 74 64
born (255, 0, 0) 6 20 91 71
born (0, 255, 0) 1 44 71 94
born (255, 0, 0) 5 32 28 16
born (255, 0, 0) 3 49 34 6
born (255, 0, 0) 5 6 67 66
born (255, 0, 0) 4 5 12 47
born (255, 0, 0) 5 49 24 58
born (255, 0, 0) 6 2 56 75
born (255, 0, 0) 7 32 12 27
born (255, 0, 0) 4 15 79 41
born (255, 0, 0) 2 39 44 87
born (255, 0, 0) 5 4 14 49
born (255, 0, 0) 2 26 32 6
born (0, 255, 0) 2 28 58 98
born (255, 0, 0) 3 3 18 88
born (255, 0, 0) 2 39 46 7
born (255, 0, 0) 2 47 41 50
born (255, 0, 0) 5 42 88 94
born (255, 0, 0) 6 19 93 75
born (255, 0, 0) 7 22 60 44
born (255, 0, 0) 4 49 17 85
born (255, 0, 0) 4 45 97 80
born (255, 0, 0) 7 46 79 50
born (255, 0, 0) 4 9 79 84
born (255, 0, 0) 5 8 69 82
born (255, 0, 0) 4 32 11 26
born (255, 0, 0) 4 37 93 96
born (255, 0, 0) 4 11 70 6
born (255, 0, 0) 3 20 77 89
born (255, 0, 0) 4 49 98 99
born (255, 0, 0) 3 1 98 33
born (255, 0, 0) 6 4 12 75
born (255, 0, 0) 6 0 85 95
born (255, 0, 0) 4 33 81 87
born (255, 0, 0) 4 41 10 92
born (255, 0, 0) 4 39 99 69
born (255, 0, 0) 5 29 81 58
born (255, 0, 0) 4 23 37 38
born (255, 0, 0) 7 1 35 73
born (255, 0, 0) 5 3 59 66
born (255, 0, 0) 5 43 18 7
born (255, 0, 0) 6 10 34 68
born (255, 0, 0) 5 49 73 85
born (255, 0, 0) 2 7 77 87
born (255, 0, 0) 4 13 63 67
born (255, 0, 0) 5 19 43 79
born (255, 0, 0) 4 36 28 11
born (255, 0, 0) 4 13 43 19
born (255, 0, 0) 5 26 21 81
born (255, 0, 0) 4 33 19 6
born (255, 0, 0) 4 35 69 60
born (255, 0, 0) 5 18 57 25
born (255, 0, 0) 3 22 41 34
born (255, 0, 0) 6 48 60 53
born (255, 0, 0) 6 11 65 60
born (255, 0, 0) 4 1 40 60
born (255, 0, 0) 5 14 96 75
born (255, 0, 0) 6 26 65 77
born (255, 0, 0) 2 3 7 71
born (255, 0, 0) 6 32 60 33
born (255, 0, 0) 5 23 21 22
born (255, 0, 0) 3 42 75 29
born (255, 0, 0) 5 7 80 21
born (255, 0, 0) 5 40 34 75
born (255, 0, 0) 5 32 59 0
born (255, 0, 0) 5 16 69 51
born (255, 0, 0) 3 1 50 39
born (255, 0, 0) 4 28 68 83
born (255, 0, 0) 1 45 5 51
born (255, 0, 0) 3 6 69 40
born (255, 0, 0) 3 27 13 22
born (255, 0, 0) 5 26 42 88
born (255, 0, 0) 4 31 28 78
born (255, 0, 0) 5 15 31 59
born (255, 0, 0) 1 25 6 69
born (255, 0, 0) 6 36 34 24
born (255, 0, 0) 5 31 94 44
born (255, 0, 0) 3 25 64 10
born (255, 0, 0) 5 0 4 8
born (255, 0, 0) 1 22 88 46
born (255, 0, 0) 6 10 87 1
born (255, 0, 0) 2 10 56 7
born (255, 0, 0) 3 24 25 49
born (255, 0, 0) 6 5 8 14
born (255, 0, 0) 1 5 89 70
born (255, 0, 0) 5 21 33 35
born (255, 0, 0) 4 39 12 27
born (255, 0, 0) 2 3 41 85
born (255, 0, 0) 3 38 43 94
born (255, 0, 0) 7 11 23 19
born (255, 0, 0) 1 45 82 11
born (255, 0, 0) 3 13 19 69
